Key,Name,Created,Updated,D42 ID,Type,Subtype,Is Virtual Host,Is Network Device,Is Blade Chassis,Serial No,Asset No,UUID,Notes,In Service,Service Level,Object Category,Tags,Hardware,Room,Rack,Start At,IP Addresses,MAC Addresses,OS,OS Version,Total CPUs,Cores Per CPU,Threads Per Core,CPU Speed,RAM,Local Used Space,Local Free Space,Local Total Space,BIOS,Location,Last Discovered,Customer,Host Device,Building,Business Applications,Cluster,Last Boot Time
CMDB-17438,DK302238TechHotellu3cintegra03.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5494,virtual,VMWare,false,false,false,VMWARE-50 13 7F FA 3E 1C 1D 9E-5E 08 09 F4 B4 1C 04 75,,50137FFA-3E1C-1D9E-5E08-09F4B41C0475,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.103,00:50:56:12:01:03,SuSE,11.0 | 2.6.25.11-0.1-default,1,1,1,,1.0,3.12,3.93,7.05,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-17001,EMERGENCYVMlu6cintegra56023.3cint.com,30/May/23 12:18 PM,11/Jan/24 3:10 AM,5091,virtual,VMWare,false,false,false,,,4230E670-3ADA-2977-1ADA-4A563D63C346,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,DC1.1 - SER-04-0 Cage 1 - 3C Payment,Rack-A02,,172.17.56.23,00:50:56:b0:dd:0d,SUSE openSUSE (32-bit),,1,1,1,,1.0,,,,,Bettembourg | DC1.1 - SER-04-0 Cage 1 - 3C Payment | Rack-A02 | lu3cd2ppesx05.3cint.com,10/Jan/24 7:13 AM,,lu3cd2ppesx05.3cint.com,Bettembourg,Integra [3C],,
CMDB-17464,GB280829lu3cintegra11,30/May/23 12:18 PM,11/Jan/24 3:11 AM,5520,virtual,VMWare,false,false,false,,,5013D301-B2DF-88D3-BB89-970F404E7135,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.111,00:50:56:12:01:11,SUSE Linux (32-bit),,1,1,1,,1.0,,,,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,10/Jan/24 7:12 AM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-17442,GB280979lu3cintegra48.3cint.com,30/May/23 12:18 PM,11/Jan/24 3:11 AM,5498,virtual,VMWare,false,false,false,VMWARE-50 13 B4 40 28 72 EF E2-10 2B 2A 42 7A 5A 61 D4,,5013B440-2872-EFE2-102B-2A427A5A61D4,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.148,00:50:56:12:01:48,SuSE,11.1 | 2.6.27.21-0.1-default,1,1,1,2.79,1.0,2.53,1.69,4.22,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,10/Jan/24 7:12 AM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-17475,GB280983lu3cintegra49.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5530,virtual,VMWare,false,false,false,VMWARE-50 13 D7 C7 D4 5F F4 8E-9D B0 C3 34 93 73 C6 DC,,5013D7C7-D45F-F48E-9DB0-C3349373C6DC,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.149,00:50:56:12:01:49,SuSE,11.1 | 2.6.27.45-0.1-default,1,1,1,2.79,1.0,2.83,1.39,4.22,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-17418,GB280989lu3cintegra51,30/May/23 12:18 PM,11/Jan/24 3:11 AM,5476,virtual,VMWare,false,false,false,,,5013B266-9E23-1EFB-D828-66CFF9D1C05E,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.151,00:50:56:12:01:51,SUSE Linux (32-bit),,1,1,1,,1.0,,,,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,10/Jan/24 7:12 AM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-17469,lu3cintegra07.site,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5525,virtual,VMWare,false,false,false,,,500E81ED-B03E-3330-14B1-218C7E82EDDC,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.107,00:50:56:1e:1a:22,SUSE Linux (32-bit),,1,1,1,,0.5,4.01,6.48,10.49,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-17468,lu3cintegra09.site,30/May/23 12:18 PM,11/Jan/24 3:11 AM,5524,virtual,VMWare,false,false,false,,,564D4039-B2E7-851C-54F4-2DB98A2F643E,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.109,00:50:56:3a:b0:64,SUSE Linux (32-bit),,1,1,1,,0.5,,,,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,10/Jan/24 7:12 AM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-17467,lu3cintegra15.3cint.com,30/May/23 12:18 PM,12/Jan/24 3:10 AM,5523,virtual,VMWare,false,false,false,VMWARE-50 13 6D 4D F1 EC 2C A9-04 12 81 E9 96 E0 64 AD,,50136D4D-F1EC-2CA9-0412-81E996E064AD,,true,Production,,"Contern,Luxembourg,3C,Integra,SIP_Server",,Room 1,Rack-A03,,172.17.18.115,00:50:56:12:01:15,SuSE,11.1 | 2.6.27.21-0.1-default,1,1,1,,0.75,2.5,1.72,4.22,,Contern | Room 1 | Rack-A03 | lu3cd1ppesx05.3cint.com,11/Jan/24 10:02 PM,,lu3cd1ppesx05.3cint.com,Contern,Integra [3C],,
CMDB-29082,lu3cintegra15052cale.,17/Nov/23 3:06 AM,11/Jan/24 3:08 AM,12236,virtual,VMWare,false,false,false,,,420E4DB0-D5AB-9EDF-CDCE-14CCA0BE050B,,true,Production,,"Contern,Luxembourg",,Room 1,Rack-A05,,172.17.18.52,00:50:56:8e:fd:9f,Ubuntu Linux (64-bit),,4,1,1,,4.0,,,,,Contern | Room 1 | Rack-A05 | lu3cd1ppesx07.3cint.com,10/Jan/24 7:11 AM,,lu3cd1ppesx07.3cint.com,Contern,,,
